n,pattern,height,avg_depth,balance_height,balance_size
10000,random,30,15,0.444444,0.458333
10000,random,31,15,0.534483,0.485437
10000,random,38,15,0.567164,0.522124
10000,random,30,14,0.464286,0.480392
10000,random,30,16,0.423077,0.380952
10000,random,27,14,0.509434,0.49
10000,random,29,15,0.659091,0.658537
10000,random,32,15,0.551724,0.545455
10000,random,28,15,0.391304,0.386364
10000,random,30,15,0.387755,0.372093
10000,random,33,15,0.559322,0.44186
10000,random,28,15,0.509091,0.50495
10000,random,31,15,0.465517,0.465116
10000,random,31,15,0.403846,0.37931
10000,random,29,15,0.508772,0.6
10000,random,29,15,0.527273,0.538462
10000,random,31,15,0.584906,0.588235
10000,random,30,16,0.517241,0.409091
10000,random,28,14,0.509091,0.541667
10000,random,28,14,0.5,0.480769
10000,random,27,14,0.480769,0.489796
10000,random,28,15,0.509091,0.505051
10000,random,35,16,0.564516,0.56701
10000,random,29,15,0.395833,0.391304
10000,random,30,15,0.5,0.413793
10000,random,29,15,0.5,0.593407
10000,random,34,16,0.442623,0.453704
10000,random,26,14,0.469388,0.46875
10000,random,28,15,0.45098,0.413043
10000,random,31,16,0.425926,0.414894
10000,random,30,15,0.491525,0.515152
10000,random,30,14,0.555556,0.536082
10000,random,31,15,0.465517,0.495146
10000,random,31,15,0.45614,0.435644
10000,random,27,15,0.470588,0.395349
10000,random,29,15,0.45283,0.505618
10000,random,30,16,0.652174,0.703704
10000,random,30,16,0.482759,0.5
10000,random,30,15,0.566038,0.561224
10000,random,31,16,0.607843,0.479452
10000,random,29,15,0.5,0.49
10000,random,34,15,0.618182,0.61165
10000,random,28,15,0.518519,0.509804
10000,random,29,14,0.537037,0.53
10000,random,30,15,0.454545,0.468085
10000,random,29,15,0.462963,0.428571
10000,random,31,16,0.563636,0.567901
10000,random,29,15,0.527273,0.514851
10000,random,33,17,0.515625,0.52381
10000,random,28,15,0.56,0.533333
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,ascending,39,23,0,0
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
10000,descending,9003,4501,1,1
15000,random,32,16,0.428571,0.4
15000,random,30,15,0.491525,0.504505
15000,random,33,16,0.421053,0.433962
15000,random,30,16,0.535714,0.58
15000,random,31,16,0.425926,0.415842
15000,random,35,15,0.42623,0.462264
15000,random,33,16,0.702128,0.72093
15000,random,29,16,0.690476,0.721519
15000,random,31,16,0.5,0.485981
15000,random,28,16,0.490909,0.495327
15000,random,29,15,0.5,0.525253
15000,random,30,15,0.535714,0.564356
15000,random,29,15,0.491228,0.490566
15000,random,31,15,0.446429,0.45
15000,random,33,16,0.459016,0.55914
15000,random,34,17,0.423729,0.435185
15000,random,30,15,0.508475,0.522936
15000,random,33,16,0.47619,0.491379
15000,random,29,15,0.5,0.471698
15000,random,37,17,0.616667,0.581633
15000,random,33,16,0.611111,0.639175
15000,random,29,15,0.537037,0.537736
15000,random,33,16,0.365385,0.382979
15000,random,32,16,0.457627,0.485981
15000,random,31,15,0.54386,0.546296
15000,random,28,15,0.471698,0.414894
15000,random,30,15,0.464286,0.481132
15000,random,33,16,0.388889,0.39604
15000,random,32,16,0.516129,0.495575
15000,random,30,15,0.555556,0.556701
15000,random,32,15,0.457627,0.481481
15000,random,34,16,0.523077,0.504348
15000,random,36,17,0.590164,0.543689
15000,random,33,16,0.431034,0.354167
15000,random,29,15,0.5,0.495413
15000,random,35,16,0.435484,0.490566
15000,random,33,16,0.492308,0.584158
15000,random,32,16,0.561404,0.543689
15000,random,32,16,0.533333,0.53913
15000,random,32,17,0.592593,0.533333
15000,random,33,15,0.47619,0.468468
15000,random,33,18,0.3125,0.391304
15000,random,32,15,0.533333,0.480392
15000,random,32,15,0.615385,0.655914
15000,random,27,15,0.519231,0.483516
15000,random,28,15,0.5,0.5
15000,random,34,17,0.105263,0.0597015
15000,random,29,15,0.517857,0.528302
15000,random,33,17,0.377358,0.395833
15000,random,31,15,0.534483,0.518182
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
15000,ascending,39,23,0,0
