n,collision_rate,pattern,height,avg_depth,balance_height,balance_size
100000,0,random,40,20,0.42029,0.418605
100000,0,random,41,19,0.453333,0.427481
100000,0,random,42,21,0.545455,0.518519
100000,0,random,40,20,0.411765,0.351351
100000,0,random,37,19,0.5,0.525547
100000,0,random,36,19,0.5,0.526718
100000,0,random,40,21,0.344262,0.342105
100000,0,random,36,19,0.507042,0.507463
100000,0,random,39,20,0.549296,0.552239
100000,0,random,39,20,0.5,0.518248
100000,0,random,36,19,0.514286,0.496241
100000,0,random,40,19,0.411765,0.41129
100000,0,random,41,21,0.397059,0.370079
100000,0,random,39,20,0.513158,0.524823
100000,0,random,41,19,0.460526,0.45
100000,0,random,39,20,0.493506,0.484615
100000,0,random,37,19,0.5,0.51938
100000,0,random,43,21,0.565789,0.5
100000,0,random,40,19,0.466667,0.481752
100000,0,random,46,21,0.394737,0.417323
100000,0,random,39,19,0.48,0.470149
100000,0,random,37,19,0.478873,0.470588
100000,0,random,38,20,0.479452,0.434426
100000,0,random,38,19,0.457143,0.412698
100000,0,random,37,19,0.5,0.5
100000,0,random,37,19,0.513889,0.507463
100000,0,random,38,19,0.550725,0.542636
100000,0,random,40,19,0.512821,0.486111
100000,0,random,40,20,0.606061,0.6
100000,0,random,41,20,0.453333,0.458333
100000,0,random,37,20,0.486111,0.474074
100000,0,random,38,19,0.535211,0.529412
100000,0,random,40,21,0.571429,0.555556
100000,0,random,38,20,0.472222,0.459854
100000,0,random,39,19,0.472973,0.535433
100000,0,random,40,20,0.428571,0.416667
100000,0,random,41,20,0.546667,0.535211
100000,0,random,40,20,0.452055,0.463768
100000,0,random,37,19,0.552239,0.571429
100000,0,random,38,20,0.567164,0.565891
100000,0,random,43,19,0.511905,0.493151
100000,0,random,42,21,0.322581,0.313559
100000,0,random,40,19,0.547945,0.507692
100000,0,random,40,20,0.444444,0.4
100000,0,random,40,21,0.428571,0.443548
100000,0,random,39,20,0.409091,0.392
100000,0,random,39,20,0.52,0.515152
100000,0,random,38,19,0.513514,0.480916
100000,0,random,38,20,0.535211,0.5
100000,0,random,36,19,0.492958,0.538462
100000,0.01,random,38,19,0.5,0.5
100000,0.01,random,40,19,0.519481,0.5
100000,0.01,random,42,20,0.575342,0.548148
100000,0.01,random,38,19,0.5,0.50365
100000,0.01,random,40,20,0.493671,0.557252
100000,0.01,random,41,20,0.460526,0.477273
100000,0.01,random,42,20,0.424658,0.42446
100000,0.01,random,43,20,0.661538,0.641667
100000,0.01,random,42,21,0.475,0.439394
100000,0.01,random,42,20,0.382353,0.347107
100000,0.01,random,39,20,0.434783,0.425373
100000,0.01,random,38,20,0.472222,0.438462
100000,0.01,random,37,20,0.528571,0.541353
100000,0.01,random,37,20,0.5,0.488722
100000,0.01,random,40,20,0.487179,0.503497
100000,0.01,random,38,20,0.603175,0.613445
100000,0.01,random,40,19,0.512821,0.492857
100000,0.01,random,39,21,0.493506,0.488189
100000,0.01,random,39,20,0.534247,0.516129
100000,0.01,random,38,19,0.5,0.506757
100000,0.01,random,40,20,0.547945,0.522388
100000,0.01,random,39,19,0.472973,0.472868
100000,0.01,random,38,20,0.5,0.478571
100000,0.01,random,38,19,0.584615,0.606557
100000,0.01,random,40,19,0.466667,0.523077
100000,0.01,random,40,19,0.506329,0.506849
100000,0.01,random,41,20,0.38806,0.387597
100000,0.01,random,38,20,0.432836,0.42623
100000,0.01,random,36,19,0.5,0.518519
100000,0.01,random,40,19,0.452055,0.457143
100000,0.01,random,38,19,0.513514,0.528169
100000,0.01,random,39,20,0.486842,0.5
100000,0.01,random,42,21,0.608696,0.614173
100000,0.01,random,38,19,0.5,0.503546
100000,0.01,random,39,20,0.442857,0.458015
100000,0.01,random,41,21,0.38806,0.364407
100000,0.01,random,39,19,0.541667,0.561538
100000,0.01,random,39,19,0.52,0.5
100000,0.01,random,39,20,0.573529,0.59375
100000,0.01,random,47,20,0.440476,0.514925
100000,0.01,random,40,20,0.487179,0.477273
100000,0.01,random,42,20,0.545455,0.51145
100000,0.01,random,39,20,0.48,0.485294
100000,0.01,random,37,19,0.463768,0.465116
100000,0.01,random,40,20,0.473684,0.382114
100000,0.01,random,41,20,0.546667,0.525
100000,0.01,random,44,21,0.578947,0.55814
100000,0.01,random,39,20,0.48,0.482759
100000,0.01,random,40,20,0.540541,0.556452
100000,0.01,random,41,21,0.532468,0.534722
100000,0.1,random,40,19,0.459459,0.416
100000,0.1,random,41,20,0.397059,0.375
100000,0.1,random,43,21,0.426667,0.406015
100000,0.1,random,43,20,0.558442,0.545455
100000,0.1,random,40,20,0.512821,0.531915
100000,0.1,random,37,19,0.478873,0.458015
100000,0.1,random,46,21,0.394737,0.378571
100000,0.1,random,37,19,0.486111,0.489209
100000,0.1,random,38,19,0.486486,0.518248
100000,0.1,random,37,19,0.493151,0.496403
100000,0.1,random,45,20,0.592105,0.534351
100000,0.1,random,37,19,0.493151,0.514706
100000,0.1,random,39,19,0.48,0.470588
100000,0.1,random,42,19,0.481481,0.506757
100000,0.1,random,38,19,0.506667,0.470588
100000,0.1,random,39,20,0.541667,0.540741
100000,0.1,random,38,19,0.527778,0.515152
100000,0.1,random,42,22,0.391304,0.401639
100000,0.1,random,37,19,0.493151,0.48062
100000,0.1,random,37,19,0.5,0.533835
100000,0.1,random,38,19,0.513514,0.537879
100000,0.1,random,39,20,0.629032,0.626087
100000,0.1,random,39,19,0.541667,0.528986
100000,0.1,random,41,20,0.438356,0.424242
100000,0.1,random,39,19,0.472973,0.511278
100000,0.1,random,40,20,0.519481,0.478261
100000,0.1,random,38,19,0.527778,0.569231
100000,0.1,random,43,20,0.418919,0.318584
100000,0.1,random,40,19,0.526316,0.51049
100000,0.1,random,39,19,0.513158,0.5
100000,0.1,random,40,20,0.493671,0.492958
100000,0.1,random,38,19,0.472222,0.478571
100000,0.1,random,39,19,0.527027,0.521429
100000,0.1,random,41,20,0.467532,0.471831
100000,0.1,random,40,20,0.487179,0.503759
100000,0.1,random,41,20,0.61194,0.627119
100000,0.1,random,37,20,0.5,0.520325
100000,0.1,random,41,20,0.38806,0.378151
100000,0.1,random,40,21,0.634921,0.634783
100000,0.1,random,37,19,0.521127,0.521739
100000,0.1,random,38,19,0.486486,0.444444
100000,0.1,random,40,20,0.42029,0.384615
100000,0.1,random,38,20,0.472222,0.421488
100000,0.1,random,40,19,0.512821,0.471014
100000,0.1,random,40,21,0.393939,0.377049
100000,0.1,random,39,19,0.465753,0.437037
100000,0.1,random,36,19,0.514286,0.507463
100000,0.1,random,40,19,0.493671,0.510949
100000,0.1,random,42,19,0.545455,0.535211
100000,0.1,random,42,19,0.538462,0.44
100000,0,ascending,39,20,0.426471,0.416
100000,0,ascending,40,21,0.555556,0.546154
100000,0,ascending,42,20,0.525,0.525547
100000,0,ascending,42,21,0.322581,0.339286
100000,0,ascending,40,20,0.487179,0.489051
100000,0,ascending,37,19,0.486111,0.442748
100000,0,ascending,39,19,0.534247,0.531746
100000,0,ascending,39,20,0.527027,0.528571
100000,0,ascending,38,20,0.5,0.492857
100000,0,ascending,43,19,0.448718,0.450704
100000,0,ascending,41,20,0.378788,0.377953
100000,0,ascending,40,19,0.493671,0.445255
100000,0,ascending,36,19,0.514286,0.518248
100000,0,ascending,38,19,0.479452,0.478873
100000,0,ascending,39,20,0.434783,0.375
100000,0,ascending,40,20,0.444444,0.465649
100000,0,ascending,37,19,0.478873,0.478261
100000,0,ascending,35,19,0.5,0.534884
100000,0,ascending,40,20,0.444444,0.419118
100000,0,ascending,37,19,0.5,0.477612
